date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:13:58	55137/55137	---MC-	200	added ('OK')	text/html	date:Sun,%2026%20Jan%202020%2017:13:56%20GMT	http://localhost/GardenMaintenance/	F:/GardenMaintenance/localhost/GardenMaintenance/index.html	(from )
22:13:59	1053/1053	---MC-	404	error ('Not%20Found')	text/html	date:Sun,%2026%20Jan%202020%2017:13:56%20GMT	http://localhost/robots.txt		(from )
22:13:59	85855/85855	---M--	200	added ('OK')	text/css	etag:%2214f5f-59d0bfcff1818%22	http://localhost/GardenMaintenance/wp-content/themes/astra/assets/css/minified/style.min.css?ver=2.2.1	F:/GardenMaintenance/localhost/GardenMaintenance/wp-content/themes/astra/assets/css/minified/style.min77e6.css	(from http://localhost/GardenMaintenance/)
22:14:00	1127/1127	---M--	200	added ('OK')	application/rss+xml	etag:%22e3d99f1f42851b254e7b06cb7b26b02b%22	http://localhost/GardenMaintenance/feed/	F:/GardenMaintenance/localhost/GardenMaintenance/feed/index.html	(from http://localhost/GardenMaintenance/)
22:14:00	770/770	---M--	200	added ('OK')	application/rss+xml	etag:%2205d7a74190e0255568f59c1ddce9a46c%22	http://localhost/GardenMaintenance/comments/feed/	F:/GardenMaintenance/localhost/GardenMaintenance/comments/feed/index.html	(from http://localhost/GardenMaintenance/)
22:14:00	41467/41467	---M--	200	added ('OK')	text/css	etag:%22a1fb-596a0a3682b00%22	http://localhost/GardenMaintenance/wp-includes/css/dist/block-library/style.min.css?ver=5.3.2	F:/GardenMaintenance/localhost/GardenMaintenance/wp-includes/css/dist/block-library/style.min9dff.css	(from http://localhost/GardenMaintenance/)
22:14:01	20480/20480	---M--	200	added ('OK')	text/css	etag:%225000-59d0c0b5a7586%22	http://localhost/GardenMaintenance/wp-content/uploads/bb-plugin/icons/ultimate-icons/style.css?ver=2.3.1.1	F:/GardenMaintenance/localhost/GardenMaintenance/wp-content/uploads/bb-plugin/icons/ultimate-icons/stylec936.css	(from http://localhost/GardenMaintenance/)
22:14:02	57180/57180	---M--	200	added ('OK')	text/css	etag:%22df5c-59d0c07fab718%22	http://localhost/GardenMaintenance/wp-content/plugins/beaver-builder-lite-version/fonts/fontawesome/5.12.0/css/all.min.css?ver=2.3.1.1	F:/GardenMaintenance/localhost/GardenMaintenance/wp-content/plugins/beaver-builder-lite-version/fonts/fontawesome/5.12.0/css/all.minc936.css	(from http://localhost/GardenMaintenance/)
22:14:03	26702/26702	---M--	200	added ('OK')	text/css	etag:%22684e-59d0c07face78%22	http://localhost/GardenMaintenance/wp-content/plugins/beaver-builder-lite-version/fonts/fontawesome/5.12.0/css/v4-shims.min.css?ver=2.3.1.1	F:/GardenMaintenance/localhost/GardenMaintenance/wp-content/plugins/beaver-builder-lite-version/fonts/fontawesome/5.12.0/css/v4-shims.minc936.css	(from http://localhost/GardenMaintenance/)
22:14:04	99441/99441	---M--	200	added ('OK')	text/css	etag:%2218471-59d0e178997ca%22	http://localhost/GardenMaintenance/wp-content/uploads/bb-plugin/cache/86-layout.css?ver=3807cc87ff54db6b068fd347ed9acc67	F:/GardenMaintenance/localhost/GardenMaintenance/wp-content/uploads/bb-plugin/cache/86-layoutdb97.css	(from http://localhost/GardenMaintenance/)
22:14:06	8113/8113	---M--	200	added ('OK')	application/javascript	etag:%221fb1-56cdcacc8d0c0%22	http://localhost/GardenMaintenance/wp-includes/js/imagesloaded.min.js?ver=5.3.2	F:/GardenMaintenance/localhost/GardenMaintenance/wp-includes/js/imagesloaded.min9dff.js	(from http://localhost/GardenMaintenance/)
22:14:06	10056/10056	---M--	200	added ('OK')	application/javascript	etag:%222748-5333ff613c400%22	http://localhost/GardenMaintenance/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	F:/GardenMaintenance/localhost/GardenMaintenance/wp-includes/js/jquery/jquery-migrate.min330a.js	(from http://localhost/GardenMaintenance/)
22:14:07	870/870	---M--	200	added ('OK')	text/xml	date:Sun,%2026%20Jan%202020%2017:14:06%20GMT	http://localhost/GardenMaintenance/xmlrpc.php?rsd	F:/GardenMaintenance/localhost/GardenMaintenance/xmlrpc0db0.php	(from http://localhost/GardenMaintenance/)
22:14:08	1045/1045	---M--	200	added ('OK')	application/xml	etag:%22415-4ed4785da9bc0%22	http://localhost/GardenMaintenance/wp-includes/wlwmanifest.xml	F:/GardenMaintenance/localhost/GardenMaintenance/wp-includes/wlwmanifest.xml	(from http://localhost/GardenMaintenance/)
22:14:09	2231/2231	---M--	200	added ('OK')	application/json	date:Sun,%2026%20Jan%202020%2017:14:08%20GMT	http://localhost/GardenMaintenance/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%2FGardenMaintenance%2F	F:/GardenMaintenance/localhost/GardenMaintenance/wp-json/oembed/1.0/embedd126.json	(from http://localhost/GardenMaintenance/)
22:14:10	2326/2326	---M--	200	added ('OK')	text/xml	date:Sun,%2026%20Jan%202020%2017:14:09%20GMT	http://localhost/GardenMaintenance/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%2FGardenMaintenance%2F&format=xml	F:/GardenMaintenance/localhost/GardenMaintenance/wp-json/oembed/1.0/embede6e8	(from http://localhost/GardenMaintenance/)
22:14:10	458/458	---M--	200	added ('OK')	image/png	etag:%221ca-59d0cd848967c%22	http://localhost/GardenMaintenance/wp-content/uploads/2020/01/cropped-Garden-Center-2-32x32.png	F:/GardenMaintenance/localhost/GardenMaintenance/wp-content/uploads/2020/01/cropped-Garden-Center-2-32x32.png	(from http://localhost/GardenMaintenance/)
22:14:12	7746/7746	---M--	200	added ('OK')	image/png	etag:%221e42-59d0cd845c1d4%22	http://localhost/GardenMaintenance/wp-content/uploads/2020/01/cropped-Garden-Center-2-192x192.png	F:/GardenMaintenance/localhost/GardenMaintenance/wp-content/uploads/2020/01/cropped-Garden-Center-2-192x192.png	(from http://localhost/GardenMaintenance/)
22:14:15	21465/21465	---M--	200	added ('OK')	image/png	etag:%2253d9-59d0cd846fd63%22	http://localhost/GardenMaintenance/wp-content/uploads/2020/01/cropped-Garden-Center-2-180x180.png	F:/GardenMaintenance/localhost/GardenMaintenance/wp-content/uploads/2020/01/cropped-Garden-Center-2-180x180.png	(from http://localhost/GardenMaintenance/)
22:14:16	3945/3945	---M--	200	added ('OK')	image/png	etag:%22f69-59d0d4a3d1b1d%22	http://localhost/GardenMaintenance/wp-content/uploads/2020/01/cropped-Garden-Center-1-2-129x43.png	F:/GardenMaintenance/localhost/GardenMaintenance/wp-content/uploads/2020/01/cropped-Garden-Center-1-2-129x43.png	(from http://localhost/GardenMaintenance/)
22:14:18	96873/96873	---M--	200	added ('OK')	application/javascript	etag:%2217a69-5890dc7401880%22	http://localhost/GardenMaintenance/wp-includes/js/jquery/jquery.js?ver=1.12.4-wp	F:/GardenMaintenance/localhost/GardenMaintenance/wp-includes/js/jquery/jquery4a5f.js	(from http://localhost/GardenMaintenance/)
22:14:18	77023/77023	---MC-	200	added ('OK')	application/json	date:Sun,%2026%20Jan%202020%2017:14:07%20GMT	http://localhost/GardenMaintenance/wp-json/	F:/GardenMaintenance/localhost/GardenMaintenance/wp-json/index.html	(from http://localhost/GardenMaintenance/)
22:14:21	44408/44408	---MC-	200	added ('OK')	text/html	date:Sun,%2026%20Jan%202020%2017:14:18%20GMT	http://localhost/GardenMaintenance/about/	F:/GardenMaintenance/localhost/GardenMaintenance/about/index.html	(from http://localhost/GardenMaintenance/)
22:14:22	50304/50304	---MC-	200	added ('OK')	text/html	date:Sun,%2026%20Jan%202020%2017:14:18%20GMT	http://localhost/GardenMaintenance/services/	F:/GardenMaintenance/localhost/GardenMaintenance/services/index.html	(from http://localhost/GardenMaintenance/)
22:14:24	41459/41459	---MC-	200	added ('OK')	text/html	date:Sun,%2026%20Jan%202020%2017:14:21%20GMT	http://localhost/GardenMaintenance/projects/	F:/GardenMaintenance/localhost/GardenMaintenance/projects/index.html	(from http://localhost/GardenMaintenance/)
22:14:25	44348/44348	---MC-	200	added ('OK')	text/html	date:Sun,%2026%20Jan%202020%2017:14:22%20GMT	http://localhost/GardenMaintenance/contact/	F:/GardenMaintenance/localhost/GardenMaintenance/contact/index.html	(from http://localhost/GardenMaintenance/)
22:14:32	568/568	---M--	200	added ('OK')	image/png	etag:%222c02093-238-55f387f39ef78%22	https://garden.org/i/p/leaf.png	F:/GardenMaintenance/garden.org/i/p/leaf.png	(from http://localhost/GardenMaintenance/)
22:14:40	388030/388030	---M--	200	added ('OK')	image/jpeg	etag:%225ebbe-59d0c20e32657%22	http://localhost/GardenMaintenance/wp-content/uploads/2020/01/projects-08.jpg	F:/GardenMaintenance/localhost/GardenMaintenance/wp-content/uploads/2020/01/projects-08.jpg	(from http://localhost/GardenMaintenance/)
22:14:40	2003/2003	---M--	200	added ('OK')	text/css	etag:%227d3-59d0c06bff557%22	http://localhost/GardenMaintenance/wp-content/plugins/astra-widgets/assets/css/minified/astra-widget-social-profiles.min.css?ver=5.3.2	F:/GardenMaintenance/localhost/GardenMaintenance/wp-content/plugins/astra-widgets/assets/css/minified/astra-widget-social-profiles.min9dff.css	(from http://localhost/GardenMaintenance/)
22:14:42	10335/10335	---M--	200	added ('OK')	application/javascript	etag:%22285f-59d0bfd0255e8%22	http://localhost/GardenMaintenance/wp-content/themes/astra/assets/js/minified/style.min.js?ver=2.2.1	F:/GardenMaintenance/localhost/GardenMaintenance/wp-content/themes/astra/assets/js/minified/style.min77e6.js	(from http://localhost/GardenMaintenance/)
22:14:47	29822/29822	---M--	200	added ('OK')	application/javascript	etag:%22747e-59d0e178ac7a9%22	http://localhost/GardenMaintenance/wp-content/uploads/bb-plugin/cache/86-layout.js?ver=3807cc87ff54db6b068fd347ed9acc67	F:/GardenMaintenance/localhost/GardenMaintenance/wp-content/uploads/bb-plugin/cache/86-layoutdb97.js	(from http://localhost/GardenMaintenance/)
22:14:48	1399/1399	---M--	200	added ('OK')	application/javascript	etag:%22577-5942f1cbbd980%22	http://localhost/GardenMaintenance/wp-includes/js/wp-embed.min.js?ver=5.3.2	F:/GardenMaintenance/localhost/GardenMaintenance/wp-includes/js/wp-embed.min9dff.js	(from http://localhost/GardenMaintenance/)
22:14:54	140489/140489	---M--	200	added ('OK')	image/jpeg	etag:%22224c9-59d0c1cac62e5%22	http://localhost/GardenMaintenance/wp-content/uploads/2020/01/projects-04.jpg	F:/GardenMaintenance/localhost/GardenMaintenance/wp-content/uploads/2020/01/projects-04.jpg	(from http://localhost/GardenMaintenance/)
22:15:01	182016/182016	---M--	200	added ('OK')	image/jpeg	etag:%222c700-59d0c1cdeafa2%22	http://localhost/GardenMaintenance/wp-content/uploads/2020/01/projects-03.jpg	F:/GardenMaintenance/localhost/GardenMaintenance/wp-content/uploads/2020/01/projects-03.jpg	(from http://localhost/GardenMaintenance/)
22:15:02	334560/334560	---M--	200	added ('OK')	image/svg+xml	etag:%2251ae0-59d0c0b59ec62%22	http://localhost/GardenMaintenance/wp-content/uploads/bb-plugin/icons/ultimate-icons/fonts/Ultimate-Icons.svg?1ddi1j	F:/GardenMaintenance/localhost/GardenMaintenance/wp-content/uploads/bb-plugin/icons/ultimate-icons/fonts/Ultimate-Iconsc85f.svg	(from http://localhost/GardenMaintenance/wp-content/uploads/bb-plugin/icons/ultimate-icons/style.css?ver=2.3.1.1)
22:15:04	93024/93024	---M--	200	added ('OK')	font/ttf	etag:%2216b60-59d0c0b5a23b6%22	http://localhost/GardenMaintenance/wp-content/uploads/bb-plugin/icons/ultimate-icons/fonts/Ultimate-Icons.ttf?1ddi1j	F:/GardenMaintenance/localhost/GardenMaintenance/wp-content/uploads/bb-plugin/icons/ultimate-icons/fonts/Ultimate-Iconsc85f.ttf	(from http://localhost/GardenMaintenance/wp-content/uploads/bb-plugin/icons/ultimate-icons/style.css?ver=2.3.1.1)
22:15:07	210133/210133	---M--	200	added ('OK')	image/jpeg	etag:%22334d5-59d0c1d10fd7d%22	http://localhost/GardenMaintenance/wp-content/uploads/2020/01/projects-02.jpg	F:/GardenMaintenance/localhost/GardenMaintenance/wp-content/uploads/2020/01/projects-02.jpg	(from http://localhost/GardenMaintenance/)
22:15:10	93100/93100	---M--	200	added ('OK')	font/woff	etag:%2216bac-59d0c0b5a3b18%22	http://localhost/GardenMaintenance/wp-content/uploads/bb-plugin/icons/ultimate-icons/fonts/Ultimate-Icons.woff?1ddi1j	F:/GardenMaintenance/localhost/GardenMaintenance/wp-content/uploads/bb-plugin/icons/ultimate-icons/fonts/Ultimate-Iconsc85f.woff	(from http://localhost/GardenMaintenance/wp-content/uploads/bb-plugin/icons/ultimate-icons/style.css?ver=2.3.1.1)
22:15:16	75936/75936	---M--	200	added ('OK')	font/woff2	etag:%22128a0-59d0c080dd998%22	http://localhost/GardenMaintenance/wp-content/plugins/beaver-builder-lite-version/fonts/fontawesome/5.12.0/webfonts/fa-brands-400.woff2	F:/GardenMaintenance/localhost/GardenMaintenance/wp-content/plugins/beaver-builder-lite-version/fonts/fontawesome/5.12.0/webfonts/fa-brands-400.woff2	(from http://localhost/GardenMaintenance/wp-content/plugins/beaver-builder-lite-version/fonts/fontawesome/5.12.0/css/all.min.css?ver=2.3.1.1)
